org_id remap_id freebase_id
도자1 0 "덕수 6294"
도자2 1 "본관 2029"
도자3 2 "덕수 4487"
도자4 3 "덕수 6238"
도자5 4 "개성 2"
도자6 5 "덕수 2656"
도자7 6 "본관 12419"
도자8 7 "덕수 2990"
도자9 8 "증 7125"
도자9 9 "증 7126"
도자9 10 "증 7124"
도자10 11 "동원 883"
도자11 12 "동원 881"
도자12 13 "신수 8088"
도자13 14 "신수 28460"
도자14 15 "신수 4522"
도자15 16 "동원 330"
도자16 17 "부여 31933"
도자17 18 "신수 901"
도자18 19 "덕수 452"
도자19 20 "신안 6678"
도자20 21 "신안 11"
도자21 22 "동원 1220"
도자22 23 "덕수 2960"
도자23 24 "김천 7092"
도자24 25 "제주 1281"
도자25 26 "덕수 6231"
도자26 27 "본관 12226"
도자27 28 "덕수 2411"
도자28 29 "덕수 5636"
도자29 30 "개성 1"
도자30 31 "본관 10130"
도자31 32 "덕수 20"
도자32 33 "본관 10075"
도자33 34 "동원 1363"
도자34 35 "동원 351"
도자35 36 "동원 886"
도자36 37 "접수 866"
회화41 38 "본관 6504"
회화20 39 "덕수 4336"
회화27 40 "덕수 946"
회화3 41 "광주 55184"
회화44 42 "본관 8404"
회화18 43 "덕수 3305"
회화38 44 "본관 10970"
회화11 45 "덕수 1313"
회화14 46 "덕수 2312"
회화26 47 "덕수 719"
회화19 48 "덕수 3672"
회화42 49 "본관 6504 - 1"
회화23 50 "덕수 5539"
회화16 51 "덕수 3145"
회화15 52 "덕수 2333"
회화22 53 "덕수 5321"
회화34 54 "동원 2626"
회화31 55 "동원 2307"
회화32 56 "동원 2318"
회화37 57 "동원 2870"
회화8 58 "덕수 1155"
회화1 59 "광주 19795"
회화1 60 "광주 19796"
회화1 61 "광주 19791"
회화1 62 "광주 19793"
회화1 63 "광주 19794"
회화29 64 "동원 2292"
회화5 65 "광주 55189"
회화6 66 "광주 6934"
회화9 67 "덕수 1211"
회화24 68 "덕수 5597"
회화30 69 "동원 2293"
회화21 70 "덕수 4501"
회화17 71 "덕수 3268"
회화46 72 "덕수 1938"
회화43 73 "본관 6504 - 21"
회화13 74 "신수 3550"
회화45 75 "덕수 5149"
회화36 76 "동원 2642"
회화35 77 "동원 2641"
회화7 78 "덕수 1003"
회화33 79 "동원 2343"
회화25 80 "덕수 5718"
회화47 81 "동원 2572"
회화12 82 "덕수 1327"
회화28 83 "동원 2170"
회화2 84 "광주 55183"
회화4 85 "광주 55187"
회화39 86 "본관 2208"
회화40 87 "본관 2508"
회화10 88 "덕수 1310"
기와1 89 83024
기와2 90 59573
기와3 91 114987
기와4 92 114963
기와5 93 82203
기와6 94 59600
기와7 95 100564
기와8 96 100974
기와9 97 61750
기와10 98 60137
기와11 99 74551
기와12 100 82868
기와13 101 82405
기와14 102 60712
기와15 103 60633
기와16 104 60548
기와17 105 60540
기와18 106 60537
기와19 107 60400
기와20 108 60235
기와21 109 59696
기와22 110 59695
기와23 111 "신수 16002"
기와24 112 100581
기와25 113 111494
기와26 114 54231
기와27 115 61742
기와28 116 60214
기와29 117 53188
기와30 118 62007
기와31 119 110319
기와32 120 27808
기와33 121 81268
기와34 122 "건희 5541"
기와35 123 "정내 903"
기와36 124 "본관 10090"
기와37 125 "신수 8745"
가구1 126 "민속 32410"
가구2 127 "민속 32412"
가구3 128 "민속 32416"
가구4 129 "민속 35112"
가구5 130 "민속 1945"
가구6 131 "민속 44154"
가구7 132 "민속 28839"
가구8 133 "신수 5983"
가구9 134 "신수 14490"
가구10 135 "민속 54212"
가구11 136 "민속 31858"
가구12 137 "민속 51523"
가구13 138 "덕포진교육박물관 280"
가구14 139 "민속 31815"
가구15 140 "민속 36135"
가구16 141 "민속 57128"
가구17 142 "민속 54214"
가구18 143 "민속 2009"
가구19 144 "민속 56977"
가구20 145 "민속 24989"
가구21 146 "민속 51410"
가구22 147 "민속 30260"
가구23 148 "민속 56980"
가구24 149 "민속 36138"
가구25 150 "민속 45415"
가구26 151 "민속 56978"
가구27 152 "민속 33870"
가구28 153 "민속 31828"
가구29 154 "민속 30259"
가구30 155 "민속 40194"
가구31 156 "민속 27312"
가구32 157 "민속 57124"
가구33 158 "민속 38178"
가구34 159 "민속 40765"
가구35 160 "민속 38172"
가구36 161 "민속 51515"
가구37 162 "민속 34993"
가구38 163 "민속 51522"
가구39 164 "목가구 42"
의상1 165 "증 7627"
의상2 166 "증 7617"
의상3 167 "증 7558"
의상4 168 "동원 4911"
의상5 169 "증 7699"
의상6 170 "증 7653"
의상7 171 "안 354"
의상8 172 "신수 6329"
의상9 173 "동원 4933"
의상10 174 "동원 4930"
의상11 175 "동원 4912"
의상12 176 "증 7735"
의상13 177 "증 7707"
의상14 178 "증 7705"
의상15 179 "증 7701"
의상16 180 "증 7684"
의상17 181 "증 7680"
의상18 182 "증 7679"
의상19 183 "증 7676"
의상20 184 "증 7668"
의상21 185 "증 7667"
의상22 186 "증 7656"
의상23 187 "증 7655"
의상24 188 "증 7646"
의상25 189 "증 7645"
의상26 190 "증 7640"
의상27 191 "증 7634"
의상28 192 "증 7632"
의상29 193 "증 7631"
의상30 194 "증 7628"
의상31 195 "증 7621"
의상32 196 "증 7620"
의상33 197 "증 7586"
의상34 198 "증 7584"
의상35 199 "증 7583"
의상36 200 "증 7564"
의상37 201 "증 6493"
의상38 202 "증 6492"
의상39 203 "동원 4937"
의상40 204 "증 7685"
의상41 205 "증 7698"
